20.893,22.326,29.101
35.367,40.796,23.921
20.508,24.023,30.642
25.173,28.57,28.42
34.018,33.688,24.939
25.64,29.521,28.007
42.982,39.507,29.5
25.246,30.256,30.032
26.474,31.328,23.162
24.572,30.66,28.079
25.154,28.386,31.08
28.465,18.805,22.982
21.572,24.579,34.149
24.324,32.622,23.834
31.252,30.137,27.039
21.798,17.837,25.203
28.171,40.077,30.121
24.692,27.263,36.048
26.742,36.216,28.629
32.454,28.379,22.766
23.914,27.713,28.565
29.586,31.565,30.566
31.062,33.437,24.668
25.178,30.589,26.875
26.232,28.717,29.712
24.768,27.356,27.222
24.414,28.776,23.308
24.339,31.388,30.211
24.445,33.579,31.095
30.828,31.65,38.223
23.798,31.611,21.123
19.282,26.945,27.247
28.831,40.481,25.663
29.992,32.022,29.637
23.919,27.131,20.613
32.697,38.28,28.648
27.692,35.595,24.498
25.759,36.986,30.697
31.114,34.442,22.53
30.117,28.506,23.124
35.024,32.513,20.396
23.626,24.337,31.079
23.195,26.618,30.591
38.942,34.496,28.189
25.741,22.842,24.138
30.198,33.006,31.671
19.808,25.857,22.984
27.444,31.426,29.164
29.151,27.667,27.078
30.739,34.659,25.11
21.942,21.442,21.209
32.623,40.508,28.122
26.17,27.753,33.411
30.529,23.609,21.578
26.273,26.285,20.611
28.078,32.27,31.071
30.986,35.248,26.621
24.451,33.868,24.186
22.318,27.982,27.025
32.369,29.53,19.504
30.185,29.775,27.255
22.793,26.419,23.948
25.546,37.744,28.586
24.924,24.243,31.905
23.604,32.369,24.788
19.487,24.137,28.473
26.075,41.344,31.114
24.616,20.953,24.529
27.846,33.919,23.523
28.236,26.234,28.546
25.019,28.899,27.699
22.005,24.755,33.199
24.466,23.185,25.323
32.56,36.145,25.994
25.96,27.284,20.337
33.98,30.236,24.274
29.159,33.321,35.278
28.374,27.215,21.559
22.404,28.359,24.839
24.297,26.04,25.43
20.39,20.708,25.47
28.248,29.17,18.775
26.686,31.696,29.195
24.884,28.888,29.208
26.289,42.707,20.211
31.231,36.794,31.091
26.627,30.4,21.656
22.649,38.704,28.796
23.486,26.489,20.335
27.179,27.516,30.235
23.98,25.576,27.152
28.767,36.219,33.065
25.819,28.647,22.738
23.064,42.883,30.575
26.905,30.39,27.999
23.318,30.012,27.589
32.689,26.869,21.814
40.451,36.633,31.2
24.677,27.691,23.072
30.921,37.489,25.843
25.191,28.7,26.868
27.462,22.802,26.948
23.529,32.016,33.48
29.685,33.825,19.826
29.598,30.11,36.085
27.73,30.504,18.381
22.923,23.114,19.796
31.649,36.327,25.361
29.243,30.116,22.469
22.009,24.236,27.966
25.112,26.09,27.797
30.731,34.883,27.876
25.957,33.679,30.896
22.009,25.78,29.522
24.166,25.666,27.261
34.703,39.199,30.748
30.296,34.613,22.611
28.875,30.55,38.357
22.015,26.975,25.573
30.617,30.499,25.504
32.12,29.148,20.309
29.068,34.334,22.532
27.697,31.107,26.796
26.842,29.643,24.482
26.829,27.858,29.777
28.26,24.273,19.082
32.118,33.866,22.5
32.118,33.866,22.5
24.866,26.551,28.183
21.187,29.229,20.965
18.953,20.708,31.85
26.159,21.226,16.881
29.102,29.623,22.217
29.878,40.079,27.31
22.525,24.717,27.238
26.085,27.311,30.578
24.477,29.994,25.466
27.115,30.139,30.814
21.176,22.007,23.986
27.247,30.245,28.127
29.172,33.002,24.458
32.624,42.784,24.011
28.264,30.824,25.717
23.577,30.047,28.111
25.205,27.268,20.973
30.094,29.375,24.666
23.77,23.826,23.826
24.847,26.26,22.526
19.257,20.096,25.3
24.822,29.375,25.857
24.041,27.351,27.093
23.735,32.507,30.152
27.184,34.017,24.87
24.046,24.218,28.129
31.977,39.807,32.793
26.162,30.727,27.392
33.574,28.867,22.759
27.363,26.695,27.827
34.603,27.733,29.613
30.483,35.736,24.73
31.131,32.15,34.461
29.266,38.15,24.631
24.078,19.584,27.291
19.641,21.387,26.833
22.172,24.047,25.3
23.398,26.551,22.046
22.057,23.079,24.649
31.343,35.652,26.593
24.66,31.264,23.694
27.875,27.909,NaN
27.185,34.788,32.066
24.673,26.134,31.188
24.242,30.591,27.166
29.693,29.506,31.453
27.131,27.671,31.34
24.04,25.422,37.839
24.323,24.653,25.902
30.436,32.344,41.497
26.073,26.733,36.114
27.385,26.729,30.583
25.052,29.334,25.631
29.991,30.415,30.625
23.722,28.44,20.411
26.205,33.487,17.395
24.931,32.053,23.158
25.222,29.457,25.07
24.464,29.64,29.939
29.811,32.099,27.843
26.015,27.034,32.378
28.968,32.35,25.884
25.088,27.43,31.451
26.763,29.886,26.606
30.827,34.636,22.849
24.743,27.983,37.706
34.606,47.838,32.519
24.155,32.613,26.568
23.119,22.423,29.525
